Name;Fold 1;Fold 2;Fold 3;Fold 4;Mean;Std;ExtraFold 6/4
DecisionTreeClassifier (depth = 2);0,55;0,97;0,97;0,91;0,85;0,18;0,92
DecisionTreeClassifier (depth = 5);0,83;0,99;0,98;0,64;0,86;0,14;0,98
GaussianNB;0,74;0,95;0,64;0,66;0,75;0,12;0,91
SVC (kernel = 'linear');0,75;0,95;0,94;0,76;0,85;0,10;0,96
SVC (kernel = 'rbf');0,87;1,00;1,00;0,62;0,87;0,16;1,00
LogisticRegression;0,64;0,95;0,94;0,78;0,83;0,13;0,95
;;;;;;;
Name;Fold 1;Fold 2;Fold 3;Fold 4;Mean;Std;ExtraFold 6/4
BaggingClassifier (KNN);0,86;0,99;1,00;0,73;0,89;0,11;1,00
BaggingClassifier (LogisticRegression);0,72;0,93;0,93;0,79;0,84;0,09;0,92
BaggingClassifier (DecisionTreeClassifier);0,78;0,97;0,97;0,95;0,92;0,08;0,98
BaggingClassifier (GaussianNB);0,74;0,95;0,69;0,71;0,77;0,10;0,92
BaggingClassifier (SVM);0,81;0,99;0,99;0,63;0,86;0,15;1,00
AdaBoostClassifier;0,87;1,00;1,00;0,66;0,88;0,14;1,00
ExtraTreesClassifier;0,87;1,00;1,00;0,61;0,87;0,16;1,00
GradientBoostingClassifier;0,87;1,00;1,00;0,65;0,88;0,14;1,00
RandomForestClassifier;0,87;1,00;1,00;0,65;0,88;0,14;1,00
VotingClassifier (soft);0,63;0,96;0,95;0,66;0,80;0,16;0,95
VotingClassifier (hard);0,65;0,96;0,97;0,65;0,81;0,16;0,96
